year,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1963,1083,7343,3791,4482,67809,5925,9877,5137,1885,14684,10318,2367,7921,1841,39514,15636,6135,8355,9659,17415,10261,2420,30466,10745,13613,4425,1974,12639,1624,4262,1651,23388,3030,1819,70640,33270,6151,5707,34533,2686,5057,1610,9055,29252,2998,11682,993,11171,12742,4617,1353
1964,1230,8220,4148,4817,73513,6228,10551,5553,2068,16025,11253,2571,8350,1946,42478,16723,6418,8774,10468,18625,11171,2604,32575,11353,14454,4524,2024,13482,1591,4400,1812,24774,3156,1933,75542,35652,6544,6164,37375,2881,5544,1597,9758,31356,3078,12713,1090,11392,13719,4892,1405
1965,1374,8994,4446,5028,78253,6631,11456,6037,2313,17445,12519,2849,9196,2197,45978,18518,6831,9518,11453,19997,12263,2807,37000,12480,15625,4925,2178,14544,1825,4749,1961,26655,3311,2032,80347,39071,6966,6725,40541,3157,6211,1763,10820,33858,3207,13666,1208,12330,14784,5208,1448
1966,1494,9847,4868,5527,84627,7275,12812,6454,2482,19182,13808,3110,10202,2273,50435,20049,7401,10378,12774,21837,13563,3001,39260,13747,16843,5319,2349,15966,1846,5205,2169,29027,3452,2131,86559,42672,7468,7267,44082,3470,6941,1919,11980,36774,3409,14904,1435,14270,16133,5570,1509
1967,1643,10053,5132,5783,89571,7666,13595,7183,2605,21123,14711,3307,10617,2335,52817,20951,7760,11041,14022,23275,14319,3154,40025,14616,17843,5652,2362,17155,1874,5486,2370,30976,3514,2248,92078,44420,8087,7639,46515,3631,7381,1960,12598,39907,3488,15925,1505,15659,16841,5825,1541
1968,1899,10977,5704,6593,98721,8540,14303,7749,2884,23793,16424,3722,11273,2497,56331,22646,8487,12212,15076,25226,15852,3406,44727,16149,19711,6267,2531,18962,1958,5823,2596,33657,3806,2549,99817,48696,8836,8528,49957,3912,8170,2093,13974,44484,3724,17693,1628,17014,18226,6091,1671
1969,2073,11866,6232,7563,106629,9480,15627,8096,3069,27427,18082,4262,12332,2750,60840,24212,9166,13206,16321,27476,17385,3695,47894,17681,21095,6801,2761,20882,2178,6537,2817,35852,4091,2947,107031,52817,9622,9353,54486,4113,8874,2273,15167,48575,4036,19638,1798,18091,19521,6381,1801
1970,2359,12475,6667,8569,111985,10431,16347,8559,3166,30691,19365,4813,12957,3015,62763,24546,9755,13943,17177,29052,18720,3959,46178,18699,22230,7253,2919,22840,2294,6907,3050,38492,4431,3262,112349,53714,10369,9798,56670,4311,9556,2437,16100,52314,4448,21048,1980,18112,20193,7088,1943
1971,2539,13624,7440,9649,120372,11998,17129,9180,3623,34161,21570,5188,13666,3265,67379,26882,10824,15568,18634,30989,20501,4207,51704,20035,24245,7923,3143,25035,2632,7660,3332,41307,4822,3611,119145,57975,11278,10864,60293,4599,10551,2656,17867,57344,4936,23157,2122,18761,22083,7602,2100
1972,2743,15356,8494,11292,133143,13784,18799,9896,3984,39709,24610,5624,15311,3773,73501,29954,12127,16915,20294,33807,22644,4625,56579,21925,26414,9183,3661,28005,3078,8487,3626,45388,5406,3990,127221,62940,12738,12221,65390,5114,11897,3046,20326,64019,5604,26064,2294,20483,24064,8391,2356
