cpi_date,CPIAUCSL,def_date,FDEFX
1/1/1947,21.5,1/1/1947,22.8
2/1/1947,21.6,4/1/1947,21.1
3/1/1947,22,7/1/1947,20
4/1/1947,22,10/1/1947,20.4
5/1/1947,22,1/1/1948,20.7
6/1/1947,22.1,4/1/1948,20.6
7/1/1947,22.2,7/1/1948,20.7
8/1/1947,22.4,10/1/1948,21.6
9/1/1947,22.8,1/1/1949,22.5
10/1/1947,22.9,4/1/1949,22.8
11/1/1947,23.1,7/1/1949,22.5
12/1/1947,23.4,10/1/1949,21.6
1/1/1948,23.7,1/1/1950,20.9
2/1/1948,23.7,4/1/1950,21
3/1/1948,23.5,7/1/1950,22.7
4/1/1948,23.8,10/1/1950,26.1
5/1/1948,24,1/1/1951,33.5
6/1/1948,24.2,4/1/1951,40.3
7/1/1948,24.4,7/1/1951,48.1
8/1/1948,24.4,10/1/1951,52.9
9/1/1948,24.4,1/1/1952,53.5
10/1/1948,24.3,4/1/1952,57
11/1/1948,24.2,7/1/1952,58.7
12/1/1948,24.1,10/1/1952,60.5
1/1/1949,24,1/1/1953,61.3
2/1/1949,23.9,4/1/1953,62
3/1/1949,23.9,7/1/1953,61
4/1/1949,23.9,10/1/1953,60.3
5/1/1949,23.9,1/1/1954,57.3
6/1/1949,23.9,4/1/1954,55.2
7/1/1949,23.7,7/1/1954,53.2
8/1/1949,23.7,10/1/1954,52
9/1/1949,23.8,1/1/1955,52.4
10/1/1949,23.7,4/1/1955,51.9
11/1/1949,23.7,7/1/1955,53.1
12/1/1949,23.6,10/1/1955,52.2
1/1/1950,23.5,1/1/1956,52.8
2/1/1950,23.6,4/1/1956,54.9
3/1/1950,23.6,7/1/1956,55.1
4/1/1950,23.7,10/1/1956,57
5/1/1950,23.8,1/1/1957,58.8
6/1/1950,23.9,4/1/1957,59.6
7/1/1950,24.1,7/1/1957,60.7
8/1/1950,24.2,10/1/1957,60.6
9/1/1950,24.3,1/1/1958,60.8
10/1/1950,24.5,4/1/1958,62
11/1/1950,24.6,7/1/1958,62.6
12/1/1950,25,10/1/1958,63.4
1/1/1951,25.4,1/1/1959,61.1
2/1/1951,25.8,4/1/1959,60.3
3/1/1951,25.9,7/1/1959,61.4
4/1/1951,25.9,10/1/1959,61
5/1/1951,26,1/1/1960,60
6/1/1951,25.9,4/1/1960,59.5
7/1/1951,25.9,7/1/1960,62
8/1/1951,25.9,10/1/1960,62.1
9/1/1951,26,1/1/1961,63.4
10/1/1951,26.2,4/1/1961,63.4
11/1/1951,26.3,7/1/1961,65
12/1/1951,26.5,10/1/1961,66.5
1/1/1952,26.5,1/1/1962,69.2
2/1/1952,26.4,4/1/1962,68.9
3/1/1952,26.4,7/1/1962,70.4
4/1/1952,26.5,10/1/1962,70.3
5/1/1952,26.5,1/1/1963,69.4
6/1/1952,26.5,4/1/1963,68.9
7/1/1952,26.7,7/1/1963,70.8
8/1/1952,26.7,10/1/1963,70.9
9/1/1952,26.6,1/1/1964,70.4
10/1/1952,26.7,4/1/1964,69.4
11/1/1952,26.7,7/1/1964,70.2
12/1/1952,26.7,10/1/1964,69
1/1/1953,26.6,1/1/1965,68
2/1/1953,26.6,4/1/1965,68.2
3/1/1953,26.6,7/1/1965,71.2
4/1/1953,26.7,10/1/1965,75
5/1/1953,26.7,1/1/1966,77.5
6/1/1953,26.8,4/1/1966,79.1
7/1/1953,26.8,7/1/1966,85.6
8/1/1953,26.9,10/1/1966,87.7
9/1/1953,26.9,1/1/1967,92.2
10/1/1953,27,4/1/1967,93.5
11/1/1953,26.9,7/1/1967,96.7
12/1/1953,26.9,10/1/1967,97.7
1/1/1954,26.9,1/1/1968,100.5
2/1/1954,27,4/1/1968,101.5
3/1/1954,26.9,7/1/1968,101.5
4/1/1954,26.9,10/1/1968,102
5/1/1954,26.9,1/1/1969,101.3
6/1/1954,26.9,4/1/1969,100.9
7/1/1954,26.9,7/1/1969,103.4
8/1/1954,26.9,10/1/1969,102.7
9/1/1954,26.8,1/1/1970,102.8
10/1/1954,26.7,4/1/1970,99.6
11/1/1954,26.8,7/1/1970,99.9
12/1/1954,26.8,10/1/1970,100.5
1/1/1955,26.8,1/1/1971,99.5
2/1/1955,26.8,4/1/1971,97.8
3/1/1955,26.8,7/1/1971,97.4
4/1/1955,26.8,10/1/1971,97.2
5/1/1955,26.8,1/1/1972,101.4
6/1/1955,26.7,4/1/1972,103.3
7/1/1955,26.8,7/1/1972,97.7
8/1/1955,26.7,10/1/1972,100.5
9/1/1955,26.9,1/1/1973,103.4
10/1/1955,26.8,4/1/1973,103.4
11/1/1955,26.9,7/1/1973,100.5
12/1/1955,26.9,10/1/1973,103.3
1/1/1956,26.8,1/1/1974,106.2
2/1/1956,26.9,4/1/1974,108.8
3/1/1956,26.9,7/1/1974,110.3
4/1/1956,26.9,10/1/1974,114.2
5/1/1956,27,1/1/1975,115.1
6/1/1956,27.2,4/1/1975,114.2
7/1/1956,27.3,7/1/1975,120
8/1/1956,27.3,10/1/1975,122.6
9/1/1956,27.4,1/1/1976,122.9
10/1/1956,27.5,4/1/1976,123.4
11/1/1956,27.5,7/1/1976,125.2
12/1/1956,27.6,10/1/1976,128.3
1/1/1957,27.7,1/1/1977,131.6
2/1/1957,27.8,4/1/1977,134.1
3/1/1957,27.9,7/1/1977,135.3
4/1/1957,27.9,10/1/1977,136.6
5/1/1957,28,1/1/1978,138.7
6/1/1957,28.1,4/1/1978,144.2
7/1/1957,28.2,7/1/1978,147.3
8/1/1957,28.3,10/1/1978,150.5
9/1/1957,28.3,1/1/1979,153.7
10/1/1957,28.3,4/1/1979,158.6
11/1/1957,28.4,7/1/1979,162.7
12/1/1957,28.5,10/1/1979,167.3
1/1/1958,28.6,1/1/1980,175.2
2/1/1958,28.7,4/1/1980,182
3/1/1958,28.9,7/1/1980,183.8
4/1/1958,28.9,10/1/1980,192.7
5/1/1958,28.9,1/1/1981,200.2
6/1/1958,28.9,4/1/1981,210.2
7/1/1958,28.9,7/1/1981,216.2
8/1/1958,28.9,10/1/1981,226.9
9/1/1958,28.9,1/1/1982,232.6
10/1/1958,28.9,4/1/1982,242.2
11/1/1958,29,7/1/1982,249.2
12/1/1958,29,10/1/1982,257.6
1/1/1959,29,1/1/1983,261.5
2/1/1959,29,4/1/1983,268.6
3/1/1959,29,7/1/1983,274.5
4/1/1959,29,10/1/1983,283.6
5/1/1959,29,1/1/1984,287.9
6/1/1959,29.1,4/1/1984,293.9
7/1/1959,29.2,7/1/1984,298.3
8/1/1959,29.2,10/1/1984,314.9
9/1/1959,29.3,1/1/1985,313.9
10/1/1959,29.4,4/1/1985,323.7
11/1/1959,29.4,7/1/1985,337.7
12/1/1959,29.4,10/1/1985,342.7
1/1/1960,29.4,1/1/1986,339.1
2/1/1960,29.4,4/1/1986,350.8
3/1/1960,29.4,7/1/1986,364.3
4/1/1960,29.5,10/1/1986,355.3
5/1/1960,29.6,1/1/1987,361.5
6/1/1960,29.6,4/1/1987,371
7/1/1960,29.6,7/1/1987,377.8
8/1/1960,29.6,10/1/1987,379.3
9/1/1960,29.6,1/1/1988,378.4
10/1/1960,29.8,4/1/1988,379.8
11/1/1960,29.8,7/1/1988,379
12/1/1960,29.8,10/1/1988,391.1
1/1/1961,29.8,1/1/1989,382.1
2/1/1961,29.8,4/1/1989,391.5
3/1/1961,29.8,7/1/1989,397.2
4/1/1961,29.8,10/1/1989,394.1
5/1/1961,29.8,1/1/1990,401.9
6/1/1961,29.8,4/1/1990,405.7
7/1/1961,29.9,7/1/1990,402.2
8/1/1961,29.9,10/1/1990,410.2
9/1/1961,30,1/1/1991,417.9
10/1/1961,30,4/1/1991,418.7
11/1/1961,30,7/1/1991,416.1
12/1/1961,30,10/1/1991,403.4
1/1/1962,30,1/1/1992,402.5
2/1/1962,30.1,4/1/1992,401.7
3/1/1962,30.2,7/1/1992,412.4
4/1/1962,30.2,10/1/1992,409.4
5/1/1962,30.2,1/1/1993,393.2
6/1/1962,30.2,4/1/1993,389.2
7/1/1962,30.2,7/1/1993,389.6
8/1/1962,30.3,10/1/1993,394.6
9/1/1962,30.4,1/1/1994,376.4
10/1/1962,30.4,4/1/1994,379.9
11/1/1962,30.4,7/1/1994,394.3
12/1/1962,30.4,10/1/1994,377.8
1/1/1963,30.4,1/1/1995,380.1
2/1/1963,30.5,4/1/1995,381.9
3/1/1963,30.5,7/1/1995,378.2
4/1/1963,30.5,10/1/1995,368.4
5/1/1963,30.5,1/1/1996,378.6
6/1/1963,30.6,4/1/1996,380.8
7/1/1963,30.7,7/1/1996,376.1
8/1/1963,30.8,10/1/1996,373.6
9/1/1963,30.7,1/1/1997,362.8
10/1/1963,30.8,4/1/1997,375.8
11/1/1963,30.8,7/1/1997,372.3
12/1/1963,30.9,10/1/1997,377
1/1/1964,30.9,1/1/1998,356.6
2/1/1964,30.9,4/1/1998,369.3
3/1/1964,30.9,7/1/1998,376.6
4/1/1964,31,10/1/1998,372.4
5/1/1964,31,1/1/1999,372.2
6/1/1964,31,4/1/1999,374.9
7/1/1964,31,7/1/1999,386.6
8/1/1964,31.1,10/1/1999,399.3
9/1/1964,31.1,1/1/2000,383
10/1/1964,31.1,4/1/2000,399.6
11/1/1964,31.2,7/1/2000,391
12/1/1964,31.3,10/1/2000,396.6
1/1/1965,31.3,1/1/2001,404.5
2/1/1965,31.3,4/1/2001,410
3/1/1965,31.3,7/1/2001,415.4
4/1/1965,31.4,10/1/2001,422.8
5/1/1965,31.5,1/1/2002,440.9
6/1/1965,31.6,4/1/2002,452.5
7/1/1965,31.6,7/1/2002,460.2
8/1/1965,31.6,10/1/2002,482.2
9/1/1965,31.6,1/1/2003,495
10/1/1965,31.7,4/1/2003,521.9
11/1/1965,31.8,7/1/2003,524
12/1/1965,31.9,10/1/2003,544
1/1/1966,31.9,1/1/2004,556.1
2/1/1966,32.1,4/1/2004,562.8
3/1/1966,32.2,7/1/2004,580.7
4/1/1966,32.3,10/1/2004,579.8
5/1/1966,32.4,1/1/2005,598.4
6/1/1966,32.4,4/1/2005,606
7/1/1966,32.5,7/1/2005,616.4
8/1/1966,32.7,10/1/2005,617
9/1/1966,32.8,1/1/2006,635.7
10/1/1966,32.9,4/1/2006,640
11/1/1966,32.9,7/1/2006,632.4
12/1/1966,32.9,10/1/2006,655.2
1/1/1967,32.9,1/1/2007,654.6
2/1/1967,33,4/1/2007,674.1
3/1/1967,33,7/1/2007,684.4
4/1/1967,33.1,10/1/2007,703.9
5/1/1967,33.1,1/1/2008,721.2
6/1/1967,33.3,4/1/2008,742.2
7/1/1967,33.4,7/1/2008,766.3
8/1/1967,33.5,10/1/2008,771.6
9/1/1967,33.6,1/1/2009,765.4
10/1/1967,33.7,4/1/2009,782.9
