"","year","State","GDP"
"1",1963,"AK",1.083e+09
"2",1963,"AL",7.343e+09
"3",1963,"AR",3.791e+09
"4",1963,"AZ",4.482e+09
"5",1963,"CA",6.7809e+10
"6",1963,"CO",5.925e+09
"7",1963,"CT",9.877e+09
"8",1963,"DE",1.885e+09
"9",1963,"FL",1.4684e+10
"10",1963,"GA",1.0318e+10
"11",1963,"HI",2.367e+09
"12",1963,"IA",7.921e+09
"13",1963,"ID",1.841e+09
"14",1963,"IL",3.9514e+10
"15",1963,"IN",1.5636e+10
"16",1963,"KS",6.135e+09
"17",1963,"KY",8.355e+09
"18",1963,"LA",9.659e+09
"19",1963,"MA",1.7415e+10
"20",1963,"MD",1.0261e+10
"21",1963,"ME",2.42e+09
"22",1963,"MI",3.0466e+10
"23",1963,"MN",1.0745e+10
"24",1963,"MO",1.3613e+10
"25",1963,"MS",4.425e+09
"26",1963,"MT",1.974e+09
"27",1963,"NC",1.2639e+10
"28",1963,"ND",1.624e+09
"29",1963,"NE",4.262e+09
"30",1963,"NH",1.651e+09
"31",1963,"NJ",2.3388e+10
"32",1963,"NM",3.03e+09
"33",1963,"NV",1.819e+09
"34",1963,"NY",7.064e+10
"35",1963,"OH",3.327e+10
"36",1963,"OK",6.151e+09
"37",1963,"OR",5.707e+09
"38",1963,"PA",3.4533e+10
"39",1963,"RI",2.686e+09
"40",1963,"SC",5.057e+09
"41",1963,"SD",1.61e+09
"42",1963,"TN",9.055e+09
"43",1963,"TX",2.9252e+10
"44",1963,"UT",2.998e+09
"45",1963,"VA",1.1682e+10
"46",1963,"VT",9.93e+08
"47",1963,"WA",1.1171e+10
"48",1963,"WI",1.2742e+10
"49",1963,"WV",4.617e+09
"50",1963,"WY",1.353e+09
"51",1964,"AK",1.23e+09
"52",1964,"AL",8.22e+09
"53",1964,"AR",4.148e+09
"54",1964,"AZ",4.817e+09
"55",1964,"CA",7.3513e+10
"56",1964,"CO",6.228e+09
"57",1964,"CT",1.0551e+10
"58",1964,"DE",2.068e+09
"59",1964,"FL",1.6025e+10
"60",1964,"GA",1.1253e+10
"61",1964,"HI",2.571e+09
"62",1964,"IA",8.35e+09
"63",1964,"ID",1.946e+09
"64",1964,"IL",4.2478e+10
"65",1964,"IN",1.6723e+10
"66",1964,"KS",6.418e+09
"67",1964,"KY",8.774e+09
"68",1964,"LA",1.0468e+10
"69",1964,"MA",1.8625e+10
"70",1964,"MD",1.1171e+10
"71",1964,"ME",2.604e+09
"72",1964,"MI",3.2575e+10
"73",1964,"MN",1.1353e+10
"74",1964,"MO",1.4454e+10
"75",1964,"MS",4.524e+09
"76",1964,"MT",2.024e+09
"77",1964,"NC",1.3482e+10
"78",1964,"ND",1.591e+09
"79",1964,"NE",4.4e+09
"80",1964,"NH",1.812e+09
"81",1964,"NJ",2.4774e+10
"82",1964,"NM",3.156e+09
"83",1964,"NV",1.933e+09
"84",1964,"NY",7.5542e+10
"85",1964,"OH",3.5652e+10
"86",1964,"OK",6.544e+09
"87",1964,"OR",6.164e+09
"88",1964,"PA",3.7375e+10
"89",1964,"RI",2.881e+09
"90",1964,"SC",5.544e+09
"91",1964,"SD",1.597e+09
"92",1964,"TN",9.758e+09
"93",1964,"TX",3.1356e+10
"94",1964,"UT",3.078e+09
"95",1964,"VA",1.2713e+10
"96",1964,"VT",1.09e+09
"97",1964,"WA",1.1392e+10
"98",1964,"WI",1.3719e+10
"99",1964,"WV",4.892e+09
"100",1964,"WY",1.405e+09
"101",1965,"AK",1.374e+09
"102",1965,"AL",8.994e+09
"103",1965,"AR",4.446e+09
"104",1965,"AZ",5.028e+09
"105",1965,"CA",7.8253e+10
"106",1965,"CO",6.631e+09
"107",1965,"CT",1.1456e+10
"108",1965,"DE",2.313e+09
"109",1965,"FL",1.7445e+10
"110",1965,"GA",1.2519e+10
"111",1965,"HI",2.849e+09
"112",1965,"IA",9.196e+09
"113",1965,"ID",2.197e+09
"114",1965,"IL",4.5978e+10
"115",1965,"IN",1.8518e+10
"116",1965,"KS",6.831e+09
"117",1965,"KY",9.518e+09
"118",1965,"LA",1.1453e+10
"119",1965,"MA",1.9997e+10
"120",1965,"MD",1.2263e+10
"121",1965,"ME",2.807e+09
"122",1965,"MI",3.7e+10
"123",1965,"MN",1.248e+10
"124",1965,"MO",1.5625e+10
"125",1965,"MS",4.925e+09
"126",1965,"MT",2.178e+09
"127",1965,"NC",1.4544e+10
"128",1965,"ND",1.825e+09
"129",1965,"NE",4.749e+09
"130",1965,"NH",1.961e+09
"131",1965,"NJ",2.6655e+10
"132",1965,"NM",3.311e+09
"133",1965,"NV",2.032e+09
"134",1965,"NY",8.0347e+10
"135",1965,"OH",3.9071e+10
"136",1965,"OK",6.966e+09
"137",1965,"OR",6.725e+09
"138",1965,"PA",4.0541e+10
"139",1965,"RI",3.157e+09
"140",1965,"SC",6.211e+09
"141",1965,"SD",1.763e+09
"142",1965,"TN",1.082e+10
"143",1965,"TX",3.3858e+10
"144",1965,"UT",3.207e+09
"145",1965,"VA",1.3666e+10
"146",1965,"VT",1.208e+09
"147",1965,"WA",1.233e+10
"148",1965,"WI",1.4784e+10
"149",1965,"WV",5.208e+09
"150",1965,"WY",1.448e+09
"151",1966,"AK",1.494e+09
"152",1966,"AL",9.847e+09
"153",1966,"AR",4.868e+09
"154",1966,"AZ",5.527e+09
"155",1966,"CA",8.4627e+10
"156",1966,"CO",7.275e+09
"157",1966,"CT",1.2812e+10
"158",1966,"DE",2.482e+09
"159",1966,"FL",1.9182e+10
"160",1966,"GA",1.3808e+10
"161",1966,"HI",3.11e+09
"162",1966,"IA",1.0202e+10
"163",1966,"ID",2.273e+09
"164",1966,"IL",5.0435e+10
"165",1966,"IN",2.0049e+10
"166",1966,"KS",7.401e+09
"167",1966,"KY",1.0378e+10
"168",1966,"LA",1.2774e+10
"169",1966,"MA",2.1837e+10
"170",1966,"MD",1.3563e+10
"171",1966,"ME",3.001e+09
"172",1966,"MI",3.926e+10
"173",1966,"MN",1.3747e+10
"174",1966,"MO",1.6843e+10
"175",1966,"MS",5.319e+09
"176",1966,"MT",2.349e+09
"177",1966,"NC",1.5966e+10
"178",1966,"ND",1.846e+09
"179",1966,"NE",5.205e+09
"180",1966,"NH",2.169e+09
"181",1966,"NJ",2.9027e+10
"182",1966,"NM",3.452e+09
"183",1966,"NV",2.131e+09
"184",1966,"NY",8.6559e+10
"185",1966,"OH",4.2672e+10
"186",1966,"OK",7.468e+09
"187",1966,"OR",7.267e+09
"188",1966,"PA",4.4082e+10
"189",1966,"RI",3.47e+09
"190",1966,"SC",6.941e+09
"191",1966,"SD",1.919e+09
"192",1966,"TN",1.198e+10
"193",1966,"TX",3.6774e+10
"194",1966,"UT",3.409e+09
"195",1966,"VA",1.4904e+10
"196",1966,"VT",1.435e+09
"197",1966,"WA",1.427e+10
"198",1966,"WI",1.6133e+10
